facility_id,city,name,category,country,currency,latitude,longitude,website,description,adult_price,student_price,senior_price,child_price,veteran_price,disabled_price,eu_under_26_price,wheelchair_access,accessible_restroom,elevator,free_entry_day,special_discount,night_opening,data_source,last_updated
SEOUL_001,Seoul,국립중앙박물관,Museum,Korea,KRW,37.52385,126.98047,https://www.museum.go.kr,한국의 대표 국립 박물관. 상설전시는 무료이며 특별전은 별도 요금이 있을 수 있음.,0.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,TRUE,Always free for permanent exhibitions,Special exhibitions may charge separate admission.,True,https://www.museum.go.kr/site/eng/content/hours_and_fees,2026-06-12
SEOUL_002,Seoul,서울역사박물관,Art Museum,Korea,KRW,37.57056,126.97076,https://museum.seoul.go.kr,서울의 도시사와 생활사를 다루는 공립 역사박물관.,0.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,TRUE,Always free,Always Free.,True,https://museum.seoul.go.kr/www/guide/vis/infomation.jsp?sso=ok,2026-06-12
SEOUL_003,Seoul,국립현대미술관 서울관,Art Museum,Korea,KRW,37.57865,126.98043,https://www.mmca.go.kr,서울 도심의 국립 현대미술관. 전시별 요금이 달라질 수 있음.,10000.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,TRUE,Wednesday and Saturday 18:00-21:00; Culture Day,"Base price uses integrated/regular exhibition ticket; exact fee can vary by exhibition. Under 24, over 65, disabled visitors and certain public-benefit groups may be free.",True,https://www.mmca.go.kr/eng/visitingInfo/seoulInfo.do,2026-06-12
SEOUL_004,Seoul,리움미술관,Art Museum,Korea,KRW,37.539724,126.999863,https://www.leeumhoam.org," 한국 고유의 미를 담고 있는 전통미술과 생동하는 현대미술, 시대적 가치를 반영한 국제미술이 함께 공존하는 세계를 향한 열린 미술관",25000.0,13000.0,13000.0,0.0,0.0,0.0,,TRUE,True,TRUE,Exhibitions vary.,Special exhibitions or experience programs may charge.,False,https://www.leeumhoam.org/leeum/info/visit,2026-06-12
SEOUL_005,Seoul,덕수궁,Palace,Korea,KRW,37.5658,126.97515,https://royal.khs.go.kr,서울 도심의 조선 궁궐. 야간까지 개방되어 접근성이 좋은 궁궐 관광지.,1000.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,FALSE,Culture Day; hanbok admission free,"Korean palace free-entry rules apply to seniors, certain veterans, disabled visitors and hanbok visitors.",True,https://royal.khs.go.kr,2026-06-12
SEOUL_006,Seoul,창덕궁,Palace,Korea,KRW,37.57944,126.99105,https://royal.khs.go.kr,유네스코 세계유산으로 지정된 조선 궁궐. 후원 관람은 별도 요금/예약이 필요할 수 있음.,3000.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,FALSE,Culture Day; hanbok admission free,Secret Garden ticket is not included in the base palace ticket. Seasonal hours are simplified in opening_hours.csv.,False,https://royal.khs.go.kr,2026-06-12
SEOUL_007,Seoul,경복궁,Palace,Korea,KRW,37.57962,126.97704,https://royal.khs.go.kr,조선 왕조의 대표 궁궐. 계절별 운영시간이 달라짐.,3000.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,FALSE,Culture Day; hanbok admission free,Seasonal hours are simplified to the current summer schedule in opening_hours.csv.,False,https://royal.khs.go.kr,2026-06-12
SEOUL_008,Seoul,서울공예박물관,Museum,Korea,KRW,37.57639,126.98416,https://craftmuseum.seoul.go.kr,공예와 디자인 문화를 다루는 서울시립 박물관.,0.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,TRUE,Always free for permanent exhibitions,Special programs or temporary exhibitions may require reservation or fee.,False,https://craftmuseum.seoul.go.kr/eng/main,2026-06-12
SEOUL_009,Seoul,서울시립 사진미술관,Art Museum,Korea,KRW,37.391983,127.025655,https://sema.seoul.go.kr/kr/visit/photosema,사진 중심의 전시와 다채로운 프로그램.,0.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,TRUE,Free except selected special exhibitions,Admission fee can vary by exhibition.,True,https://sema.seoul.go.kr/kr/visit/photosema#lnkExInfo,2026-06-12
SEOUL_010,Seoul,서울시립 남서울미술관,Art Museum,Korea,KRW,37.4761313,126.9795938,https://sema.seoul.go.kr/kr/visit/namseoul,"역사의 정취가 가득한, 오래 머물고 싶은 미술관입니다. 미술관이 둥지를 튼 이곳은 대한제국(1897~1910) 시절 벨기에 영사관으로 사용된 건물(사적 제254호)로, 1905년 회현동에 준공되어 1983년 지금의 남현동으로 옮겨졌습니다.",0.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,TRUE,Free except selected special exhibitions,Admission fee can vary by exhibition.,True,https://sema.seoul.go.kr/kr/visit/namseoul#lnkExInfo,2026-06-12
